experiment,client,final_round,val_acc,val_loss,epsilon,noise_multiplier
baseline,client_0.csv,5.0,0.8880772241064441,0.3516879512204064,,
baseline,client_1.csv,5.0,0.9047860646034162,0.3112228465241355,,
baseline,client_2.csv,5.0,0.9123065585851142,0.2942352603341258,,
baseline,client_3.csv,5.0,0.9357366771159876,0.2508174356073141,,
baseline,client_4.csv,5.0,0.911699779249448,0.3057449837525686,,
baseline,client_5.csv,5.0,0.9411764705882352,0.2337311378547123,,
dp,client_0.csv,5.0,0.8881641881902774,0.7649769560414522,5.08248058930454,
dp,client_1.csv,5.0,0.904616945712836,0.6805276922969701,6.725793628860944,
dp,client_2.csv,5.0,0.9123065585851142,0.6741944097075883,11.57970762657603,
dp,client_3.csv,5.0,0.9357366771159876,0.4180603251385036,15.798350196112636,
dp,client_4.csv,5.0,0.911699779249448,0.6543722491711378,18.10342309056721,
dp,client_5.csv,5.0,0.9411764705882352,0.4332613540547235,23.852729146994147,
adp,client_0.csv,5.0,0.8881641881902774,0.8202187087169376,0.2661133081249863,
adp,client_1.csv,5.0,0.904616945712836,0.6874793828427288,0.3950506250271091,
adp,client_2.csv,5.0,0.9123065585851142,0.6598179856258402,1.0089195515206035,
adp,client_3.csv,5.0,0.9357366771159876,0.4281515427515842,1.6208131096385268,
adp,client_4.csv,5.0,0.911699779249448,0.718916608307821,1.9870904649788304,
adp,client_5.csv,5.0,0.9411764705882352,0.4199262985161373,2.986272687590056,
